code	english	code	malay
2371845	How old are you? I'm twenty-six.	2371854	Berapakah umur anda? Saya dua puluh enam tahun.
2383984	I want to invite you to the party.	2383983	Saya mahu mengundang kamu ke parti.
2403657	Malay has many similarities with Indonesian.	2391747	Bahasa Melayu mempunyai banyak persamaan dengan Bahasa Indonesia.
2547656	I've told the police.	3011137	Saya sudah memberitahu polis.
2607208	Sorry that I can't accept your love.	1923858	Maafkan saya jika saya tidak dapat menerima cinta awak.
808760	He decided to become a pilot.	2391694	Dia memutuskan untuk menjadi juruterbang.
2811464	Tom's boss appreciates his work, but he doesn't want to give him a pay raise.	3276536	Majikan Tom menghargai kerjanya, tetapi tidak mahu menaikkan gajinya.
2826708	My hobby is collecting watches.	2826710	Hobi saya ialah mengumpul jam tangan.
2826715	Najib is not a good leader.	2826714	Najib adalah seorang pemimpin yang tidak bagus.
2826717	Rosmah likes to collect toilet bowls.	2826718	Rosmah gemar mengumpul mangkuk jamban.
2826721	The leaders of Malaysia like bribes.	2826720	Pemimpin Malaysia gemarkan rasuah.
2912823	I prefer tea over coffee.	2912829	Saya lebih suka teh daripada kopi.
2912832	This cat is very fat.	2912833	Kuching ini sangat gemuk.
16492	What are you doing?	2912850	Apa yang anda lakukan?
60291	This chair is made of plastic.	2915492	Kerusi ini dibuat daripada plastik.
3131793	Could you tell us what happened next?	3411527	Bolehkah anda beritahu kepada kami apa yang berlaku seterusnya?
3306918	Have you visited Tokyo Tower?	983927	Anda telah melawat Menara Tokyo?
3306928	Starting from tomorrow, Safwan will be a student at Malaya University.	1923828	Bermula esok, Safwan akan menjadi seorang mahasiswa di Universiti Malaya.
3306939	Weight problem is very sensitive among women.	1923805	Masalah berat badan adalah amat sensitif dalam kalangan wanita.
3308643	You have a poor memory!	1476472	Awak tiada ingatan yang kuat!
279541	Saturday comes before Sunday.	2391699	Hari Sabtu datang dahulu daripada hari Ahad.
3308657	You need to get off at the next stop.	961066	Awak perlu turun di perhentian berikutnya.
3346368	You've found the problem.	3346448	Engkau telah mencari masalah.
3346376	You're afraid of Tom, aren't you?	3346446	Engkau takut Tom, bukan?
3347415	Today, I do not want to go to school.	3276526	Hari ini, saya tidak mahu pergi ke sekolah.
3347712	What are you and Tom doing?	3351857	Awak dan Tom buat apa?
373320	How are you?	3351855	Apa khabar?
3348039	You're Tom, aren't you?	3351852	Anda Tom bukan?
3348155	The new furniture arrived today.	3351846	Perabut baru tiba hari ini.
3348171	We can't start today.	3351843	Kita tak boleh mula hari ini.
1556174	Do you really want to know?	3351833	Awak benar mahu tahukah?
2012604	Do you really want to help?	3351828	Anda benar mahu menolongkah?
3348181	Do you know how to use it?	3351827	Anda tahu menggunakannyakah?
3348224	We don't say that anymore.	3351824	Kami tak sebut itu lagi.
43036	People don't say that anymore.	3351821	Orang tak sebut itu lagi.
3348236	My car isn't powerful enough.	3351820	Kereta saya tak cukup kuat.
3348435	You're going to prison.	3351814	Anda pergi ke penjara.
3348726	We can't change history, but we can learn from it.	3351811	Kita tidak boleh menukar sejarah tetapi kita boleh belajar darinya.
3348820	You've got paint on your shirt.	3351805	Ada cat di atas baju anda.
3348821	You've got a car, right?	3351803	Anda ada sebuah kereta, bukan?
3348822	You've got to do it now.	3351801	Anda mesti buat itu sekarang.
3348824	You've got to come with me.	961179	Awak mesti datang bersama saya.
3349278	Tom's phone is huge.	3351790	Telefon Tom besar.
1830623	Horses eat grass.	3351789	Kuda makan rumput.
3349419	There is a pen.	3351772	Pen ada.
3349500	Life is like a game of chess.	3351769	Hayat bagaikan permainan catur.
3349519	You'd better come with me.	3351766	Lebih baik anda datang bersama saya.
3349578	We don't repair PCs here.	3351765	Kami tidak membaiki PC di sini.
3350045	What did he do here?	3351744	Dia buat apa di sini?
3350116	Please send me a postcard.	3351722	Sila kirimkan saya sekeping poskad.
3350126	Have you been here all night?	3351711	Awak di sini seluruh malamkah?
3350128	Do you want to try it again?	3351720	Anda mahu cuba sekali lagikah?
3350129	Do you want to look at this?	3351713	Anda mahu tengok inikah?
3350130	Do you want to go to prison?	3351714	Engkau mahu pergi ke penjarakah?
3350131	Do you want to go right now?	3351717	Anda mahu pergi sekarangkah?
3350132	Do you want me to go home?	3351718	Awak mahu saya balik rumahkah?
3350133	Do you want me to get that for you?	3351719	Anda mahu saya ambil itu untuk andakah?
3350136	Do you think Tom will help us?	3351710	Anda anggap Tom akan tolong kamikah?
3350146	Do you know what's in here?	3351709	Anda tahu apakah di dalam sini?
3350167	I'm old, but I'm not that old.	3351706	Saya tua, tetapi bukan begitu tua.
3350168	I'm young, but I'm not that young.	3351705	Aku muda, tetapi bukan begitu muda.
3350172	I'll be back at 2:30.	3351701	Aku akan kembali pada pukul 2:30.
3350173	I don't need your help, but you need mine.	3351700	Saya tak perlu pertolongan anda, tetapi anda perlu pertologan saya.
3350182	I know her sister.	3351699	Saya mengetahui kakaknya.
3350183	I don't know Tom, but I know his sister.	3351698	Aku tak mengetahui Tom, tetapi aku mengetahui kakaknya.
3350254	Do you speak Inuktitut?	3351695	Anda bercakap Inuktitutkah?
3350324	You are a husband to your husband.	3351694	Anda seperti suami kepada suami anda.
3350504	We eat at home.	3351693	Kami makan di rumah.
3350506	Where do you study?	3351692	Di mana anda belajar?
582309	I need help.	3351691	Aku perlu pertolongan.
3350757	Pay off your credit cards every month.	3351689	Bayarkan kad kredit anda setiap bulan.
3351066	When I work, I like to listen to the music.	3351686	Bila saya berkerja, saya gemar mendengar muzik.
3351168	Tom now uses Windows 8.1.	3351684	Tom kini menggunakan Windows 8.1.
3677845	I'm trying to learn English.	3677888	Saya cuba nak belajar bahasa Inggeris.
3716026	Santa lives at the North Pole.	3716039	Santa tinggal di kutub utara.
3716048	I hope that I can do it.	3716060	Saya harap saya boleh buat.
310875	She doesn't like soccer.	1230162	Dia tidak suka bola sepak.
3663249	There are islands in the sea.	3774240	Di laut ada pulau.
281873	Sunday is the last day of the week.	3923706	Hari Ahad adalah hari minggu yang terakhir.
3935488	Greece is an old country.	3935515	Negara Greek adalah sebuah negara yang lama.
854064	I am not working.	3306907	Saya tidak berkerja.
3936210	Sorry, he is not here.	3306901	Maaf, dia tidak ada di sini.
323793	Close your eyes and go to sleep.	3306890	Tutup mata anda dan pergi tidur.
3936217	We learn English every day.	2912861	Kami belajar Bahasa Inggeris setiap hari.
3936227	Don't be too stubborn.	2391871	Janganlah keras kepala sangat.
3936234	I agree with this opinion.	2391686	Saya bersetuju dengan pendapat ini.
3936237	I am a foreigner here.	1929788	Saya ialah orang asing di sini.
251126	My hobby is writing stories.	1929763	Hobi saya ialah menulis cerita.
3936241	Sorry, could you repeat that, please?	1762784	Maaf, boleh awak ulang?
20398	Forget it.	3936247	Lupakannya.
1098565	I eat an apple.	3936573	Saya makan sebiji epal.
854075	We love eating apples.	3936574	Kami suka makan epal.
405769	We're eating apples.	3936575	Kami sedang makan epal.
255926	I like to eat apples.	3936576	Saya suka makan epal.
405764	He's eating an apple.	3936578	Dia sedang makan sebiji epal.
405766	She's eating an apple.	3936578	Dia sedang makan sebiji epal.
1336322	May I eat this apple?	3936580	Bolehkah saya makan epal ini?
2445198	I'm eating an apple.	3936582	Saya sedang makan sebiji epal.
2635296	I'll eat the apple.	3936585	Saya akan makan epal itu.
2664182	I'll eat an apple.	3936586	Saya akan makan sebiji epal.
2787378	They're eating the apples.	3936588	Mereka sedang makan epal-epal itu.
2790056	Melanie is eating an apple.	3936589	Melanie sedang makan sebiji epal.
252663	I want to eat apple pie.	3936590	Saya hendak makan pai epal.
3206903	I eat an apple and she eats bread.	3936592	Saya makan sebiji epal dan dia makan roti.
3129194	I must convince Tom.	3942058	Saya mesti meyakinkan Tom.
3824187	It still happens.	3942060	Ia masih berlaku.
240186	The sale will be over in two days.	3942062	Jualan akan tamat dalam masa dua hari.
3171627	Tom doesn't want to get in trouble.	3942064	Tom tidak mahu terlibat dengan masalah.
1166662	My neck hurts today.	3942065	Leher saya sakit hari ini.
3821094	From now on, we'll meet in this room.	3942068	Bermula dari sekarang, kita akan bertemu di bilik ini.
3767571	He fell in love with a pretty girl.	3942081	Dia telah jatuh cinta dengan seorang gadis cantik.
48494	I suggested that the plan be postponed.	3942136	Saya telah mencadangkan supaya rancangan tersebut ditangguhkan.
2891242	Hold on one second.	3942138	Tunggu sebentar.
2545988	I'm here because of Tom.	3942156	Saya di sini kerana Tom.
239427	I'm fine. How about you?	3942164	Saya baik. Bagaimana dengan awak?
3444460	Tom is making a cup of tea for Mary.	3942168	Tom sedang membuat secawan teh untuk Mary.
2502305	I'm not Darth Vader.	3942218	Saya bukan Darth Vader.
2650944	This is so embarrassing.	3942220	Ini sungguh memalukan.
320401	Don't study.	3942230	Jangan belajar.
710917	My body is old but my spirit is young.	3942247	Badan saya tua tetapi jiwa saya muda.
2436476	I regret nothing.	3942251	Saya tak menyesal langsung.
1887130	I can't get involved.	3942256	Saya tidak boleh terlibat.
1887130	I can't get involved.	3942257	Saya tidak boleh masuk campur.
3620303	Tom goes to school with Mary.	3942268	Tom pergi ke sekolah dengan Mary.
69893	You're respected by everybody.	3942269	Awak dihormati oleh semua orang.
239885	Reading classics is not easy.	3942270	Membaca karya klasik tidak mudah.
1764752	This pencil is white.	3942271	Pensel ini putih.
58396	This information is confidential.	3942274	Maklumat ini adalah sulit.
16390	Now you've come of age, you have the right to vote.	3942277	Sekarang awak telah cukup umur, awak mempunyai hak untuk mengundi.
1305337	I had to resign.	3942280	Saya terpaksa meletakkan jawatan.
2160605	I can't express my feelings.	3942285	Saya tidak boleh meluahkan perasaan saya.
323724	My eyes are very sensitive to the light.	3942287	Mata saya sangat peka kepada cahaya.
323724	My eyes are very sensitive to the light.	3942288	Mata saya sangat sensitif kepada cahaya.
1778767	Oslo is the capital of Norway.	3942293	Oslo ialah ibu negara Norway.
1747294	Do you want to play tennis with us?	3942299	Adakah awak hendak bermain tenis dengan kami?
3825044	Everyone is drunk.	3942300	Semua orang mabuk.
2867382	She will protect you.	3942307	Dia akan melindungi awak.
64867	I don't want to see your faces.	3942310	Saya tidak mahu melihat muka kamu.
64867	I don't want to see your faces.	3942313	Saya tidak mahu melihat muka awak.
1935031	She's not my girlfriend. She's my sister.	3942317	Dia bukan teman wanita saya. Dia kakak saya.
1961452	I thought Tom and Mary were married.	3942321	Saya sangkakan Tom dan Mary telah berkahwin.
3434170	Tom isn't very happy.	3942330	Tom tidak begitu gembira.
1399479	Burj Khalifa is currently the tallest skyscraper in the world.	4059248	Burj Khalifa kini pencakar langit tertinggi di dunia.
4207324	He already intends to go to the sea.	2181050	Dia telah berkeinginan untuk pergi ke laut.
4210204	My wife is from Kedah.	2391755	Isteri saya berasal dari Kedah.
404046	I'm at home.	2391706	Saya sedang berada di rumah.
2898220	I'm at home right now.	2391706	Saya sedang berada di rumah.
4210207	I'm currently at home.	2391706	Saya sedang berada di rumah.
4214587	I will try to find them.	3936697	Saya akan cuba cari mereka.
4214603	I am glad to be here.	3936689	Saya gembira kerana berada di sini.
4214718	It would be nice if there were more money.	3936691	Alangkah baiknya kalau ada lebih banyak duit.
4214729	I have seen a dog.	3936656	Saya telah melihat seekor anjing.
4214745	Do you want to live in Mumbai?	3936655	hendak tinggal di Mumbai?
4214752	I'm not pretty.	3936654	Saya tak cantik.
4214768	Last night I was at home.	3936653	Semalam saya berada di rumah.
2611763	I was at home yesterday.	3936653	Semalam saya berada di rumah.
2611894	I was at home all day yesterday.	3936652	Semalam saya berada di rumah sepanjang hari.
241947	What are you doing now?	3936423	Awak sedang buat apa?
707934	When will you return?	3936419	Bilakah awak akan kembali?
707934	When will you return?	3936418	Bilakah awak pulang?
4224899	You can learn, no matter your age.	974225	Anda boleh belajar, tidak kira usia anda.
3918175	I'll try to find them.	3936700	Saya akan cuba cari.
70623	What is your name?	4297084	Apa nama anda?
895639	You cannot add a real number and an imaginary number.	4551594	Kau tidak boleh tambah nombor sebenarnya dan nombor khayalan.
238586	We will report the results when known.	4551674	Kami akan melaporkan keputusan apabila diketahui.
3476762	I want to visit you.	4551709	Saya nak jumpa awak.
2915249	I like the Harry Potter books.	4553214	Saya suka buku-buku Harry Potter.
1926290	I like Harry, not as much as I like Draco of course, but still I think he's cool.	4553250	Saya suka Harry, tak sebanyak macam yang saya suka Draco mungkin, tapi masihlah saya rasa dia hebat.
16774	What time do you usually get up?	4555624	Jam berapa kau biasanya bangun?
1282	Muiriel is 20 now.	4555686	Muriel berumur 20 sekarang.
3955439	Mercury is the smallest planet in our solar system.	4556339	Utarid ialah planet terkecil dalam sistem suria kita.
393357	Please.	4556777	Sila.
885704	Remember!	4556813	Ingat!
1747561	Try!	4556868	Cuba!
1768349	Begin!	4556871	Dimulakan!
446119	Where is Customs?	4557140	Di mana kastam?
272081	Where is the Customs Service?	4557157	Di mana pekhidmatan kastam?
56406	Put the garbage outside.	4558114	Letakkan sampah di luar.
70050	Do you play soccer?	4558120	Kau main bolakah?
2144565	Do you know the rules of football?	4558129	Awak tahukah peraturan main bola?
2144566	I prefer salad for supper; I'm usually not hungry at this time of the day.	4558163	Saya lebih suka salad untuk makan malam; Biasanya saya tidak lapar pada kali ini sehari.
2144572	The next few years won't be easy for us.	4558215	Beberapa tahun hadapan takkan menenangkan beban.
2144574	Experience is the name many people give to their mistakes.	4558227	Pengalaman adalah nama yang ramai orang memberi kepada kesilapan mereka.
3151554	Give me a day or two.	4558263	Berikan saya sehari atau dua hari.
293348	He was a big man called Little John.	4558280	Dia besar dipanggil 'Little John'.
293349	He came to take a walk every morning after rehabilitation.	4558307	Dia datang untuk berjalan-jalan setiap pagi selepas pemulihan.
1355921	He knows nothing about Lincoln, or for that matter, about the United States.	4558336	Dia tidak tahu apa-apa tentang Lincoln ataupun tentang Amerika Syarikat.
1355923	He went to the United States last year to brush up his English.	4558371	Dia pergi ke Amerika tahun lalu untuk menyegarkan kembali Bahasa Inggeris.
2481262	Just go for it.	4558402	Teruskan saja.
266894	I'll be back by tomorrow, if possible.	4559426	Saya akan balik besok, kalau mungkinlah.
2510748	Eternity is a long time.	4560090	Keabadian adalah sekian lama.
65577	Who is the best singer in our company?	4560095	Siapakah penyanyi yang terbaik dalam syarikat kami?
65578	He was the first to jump into the world of computers at our company.	4560122	Beliau merupakan orang pertama untuk melompat ke dalam dunia komputer di syarikat kami.
24187	Our family consists of five members.	4560132	Keluarga kami terdiri daripada lima orang ahli.
1710521	Fuck, we're old!	4560147	Sial, kita tua lah!
1230194	You don't worry.	4560223	Awak jangan risau.
2955090	You've definitely gotten better at French.	4561306	Awak pasti mendapat yang lebih baik di Perancis.
16289	Do you study English?	4563373	Awak belajar bahasa Inggeris?
1685251	This cannot be called life.	4563509	Ini tidak boleh disebut kehidupan.
3953793	Don't hurry.	4571825	Jangan terburu-buru.
3467635	"Hey, what's up?" "Oh, not much."	4573813	"Hei, apa hal?" "Oh, takda hal."
4579221	We'll arrive about one hour before Tom gets there.	4579224	Kami akan tiba kira-kira satu jam sebelum Tom sampai di sana.
4579228	You should keep in store that pastries because that food looks so wasted.	4579230	Awak kena memerhatikan kedai kuih tersebut kerana makanan itu kelihatan sisa demikian.
2713189	You seem to know everything.	4582220	Nampaknya awak tahu segala-galanya.
2063852	Please tell me the bank's number.	4582246	Sila beritahu saya nombor bank.
38937	Where is the toilet?	4582252	Tandas dimana?
3821540	I should've asked Tom for permission.	4587791	Saya sepatutnya diminta Tom kebenaran.
2763638	You lost time.	4589945	Habislah masa saya.
4590799	I love the sound this grasshopper makes!	4593698	Saya suka bunyi belalang ini buat!
1486051	They're just rich kids.	4609681	Mereka cuma anak kaya.
4611816	That is only your excuse.	4611814	Itu alasan kau saja.
3657628	What should be done if we want to find our soul mate?	4617312	Apa yang harus dilakukan kalau kita hendak mencari pasangan hidup kamu?
4468677	Sad.	4623293	Sedih.
4625620	She teaches us English.	4626473	Dia mengajar kita bahasa Inggeris.
4350821	Is that even a word?	4626500	Adakah itu perkataan sebenar?
4631053	How long have you been studying the Kadazan language?	4631056	Sudah berapa lamakah awak mempelajari bahasa Kadazan?
4631066	I understand, but I don't know how to answer in Kadazan language.	4631069	Saya mengerti, tetapi saya tidak pandai menjawab Kadazan.
4500179	I met Tom once.	4631985	Saya terjumpa si Tom sekali.
1773656	Why do you want to do this?	4632817	Kenapa awak nak buat macam ini?
1164329	Tom passed away three years ago.	4632842	Tom telah meninggal dunia tiga tahun lalu.
35020	Have you ever been to Paris?	4635643	Kamu pernah pergi ke Paris?
2271887	I don't need anything.	4635748	Saya tak perlukan apa-apa.
2764252	He dressed up as a woman.	4635792	Dia berpakaian seperti wanita.
987490	Could I have some more coffee?	4636624	Boleh tolong tambahkan kopi?
1064331	It wasn't my fault.	4639514	Bukan salah saya.
2376663	I know you're going to say no.	4639678	Saya tahu awak akan kata tak boleh.
2892382	Tom was very scared.	4639955	Tom memang takut.
387384	A cat came out from under the desk.	4641838	Seekor kucing keluar dari bawah meja.
3030776	There's no reason to be afraid.	4642335	Tiada apa yang perlu ditakuti.
547389	This is not a sentence.	4642401	Ini bukan ayat.
4642888	I can not do all of this.	4642894	Aku tak dapat buat semua perkara ini.
275576	Can you take us to the British Museum?	4645667	Boleh tak ambil kami ke Muzium British?
275579	The landlord says he wants to raise the rent.	4645675	Pemilik tanah berkata dia mahu menaikkan sewa.
4680104	I can't do all of this.	4642894	Aku tak dapat buat semua perkara ini.
66732	Cut it out.	4688327	Hentikan.
2249513	Knock it off.	4688327	Hentikan.
2111499	Stop it.	4688327	Hentikan.
3818324	I haven't seen that movie yet.	4700211	Saya belum tengok itu wayang.
450633	Many new teachers feel ill-prepared to teach basic literacy and numeracy.	4722100	Ramai guru-guru baru merasa kurang bersedia untuk mengajar asas literasi dan numerasi.
242809	It's cold today.	4731877	Hari ini cuaca sejuk.
289190	He is always working from morning till night.	4781144	Dia sentiasa bekerja dari pagi hingga malam.
289514	He cheated me at cards.	4781603	Dia ditipu aku di kad.
2376419	I know what's going on.	4839555	Saya tahu apa yang sedang berlaku.
69162	You never used to treat me like this.	4839567	Awak tidak pernah melayan saya seperti ini.
281294	Are there any beautiful parks in Japan?	4839570	Adakah ada taman yang cantik di Jepun?
16655	You'd better go to see your family doctor at once.	4839575	Lebih baik awak pergi berjumpa doktor keluarga awak serta-merta.
2545188	Tom is a little confused.	4839590	Tom sedang keliru sedikit.
243597	Is there any sugar?	4839615	Ada gula?
3430986	I love love.	4839640	Saya mencintai cinta.
401555	Santa Claus was standing in the garden.	4839656	Santa Klaus berdiri di taman tadi.
3419956	Tom is getting better bit by bit.	4839683	Tom semakin baik sedikit demi sedikit.
874542	She took out a full-page ad in the newspaper pleading for help in finding her kidnapped daughter.	4839696	Dia telah mengeluarkan iklan satu halaman penuh di surat khabar merayu bantuan untuk mencari anak perempuannya yang telah diculik.
284336	It's evident to everybody that he's in love.	4839698	Jelas kepada semua orang bahawa dia sedang dilamun cinta.
3029083	I recommend that this sentence be deleted after two weeks, as long as there is no objection by then.	4839711	Saya mencadangkan agar ayat ini dipadam selepas dua minggu, selagi tiada bantahan sehingga itu.
1836533	I long for my lost happiness.	4839715	Saya merindui kebahagiaan saya yang hilang.
2187251	Quit complaining.	2371853	Hentilah mengadu.
293861	He was the first man to float in space.	4863207	Dialah orang yang pertama yang terapung di angkasa.
2187251	Quit complaining.	4917769	Berhenti mengadu.
3082628	Happy International Women's Day!	4963880	Selamat Hari Wanita Sedunia!
2371766	Thanks for helping me!	4977084	Terima kasih sebab tolong aku!
2958745	Tom wishes Mary wouldn't always go shopping on Saturdays.	5001986	Tom berharap agar Mary tidak akan selalu keluar membeli-belah pada hari Sabtu.
2986305	Tom, there's someone here to see you.	5002079	Tom, ada seseorang di sini mahu berjumpa awak.
2563243	I have no clue.	5002083	Saya tiada pembayang langsung.
1635525	There is one less.	5002084	Seorang tidak cukup.
2644332	Tom said you needed a job.	5002122	Tom kata awak perlukan pekerjaan.
1527887	I have absolutely no clue what happened after I got drunk. Why is there some old dude sleeping in my room?	5002135	Saya langsung tidak tahu apa yang berlaku selepas saya mabuk. Kenapa ada beberapa orang tua tidur di dalam bilik saya?
240603	Are you knowing the girl who is over there?	5069487	Kenalkah engkau budak di sana?
4736846	One more time!	5071891	Bir kere daha!
254181	I was invited to the party.	5080306	Saya dijemput ke majlis ini.
3920538	Are you worried about them?	5080309	Awak risaukah tentang mereka?
2512936	This year I didn't have time to go on holidays.	5080318	Tahun ini, saya tidak ada masa untuk bercuti.
1163477	If you agree to become an organ donor, you may help save someone's life.	5080355	Jika anda bersetuju untuk menjadi penderma organ, anda boleh membantu menyelamatkan nyawa seseorang.
1822871	We don't make mistakes.	5102795	Kita tidak buat kesilapan.
1821021	How many doors are there in this house?	5102802	Berapa pintu yang ada di rumah ini?
324602	Dinner finished, they enjoyed playing cards.	5102841	Selepas habis makan malam, mereka dinikmati bermain kad.
2380240	I love you more than ever.	5112718	Aku sukakan awak lebih daripada sebelum itu.
2380241	I love you the best of all.	5113151	Saya cintakan awak yang terbaik dari semua.
40332	I love you more than anyone else.	5113156	Saya cintakan awak lebih daripada orang lain.
40334	No one encouraged her.	5113159	Tiada siapa yang menggalakkannya.
5113275	Let's try to live a life of gratefulness.	5113268	Mari kita cuba untuk menjalani kehidupan yang bersyukur.
5117572	The best teams are made up of a bunch of nobodies who love everybody and serve anybody and don't care about becoming a somebody.	5117588	Para pasukan terbaik terdiri daripada sekumpulan tiada siapa yang mencintai semua orang dan berkhidmat sesiapa dan tidak mengambil berat tentang menjadi seseorang.
2360809	I heard you got fired.	5118467	Saya terdengar awak sudah dipecat.
2665509	Let me finish this first.	5119695	Biar saya siapkan ini dulu.
3730220	Tom was a native of Boston with deep roots in the community.	5123236	Tom adalah bumiputera Boston dengan akar yang mendalam dalam masyarakat ini.
3730221	It's a remarkable opportunity.	5123241	Ia satu peluang yang luar biasa.
3730222	You had plenty of opportunity.	5123243	Anda mempunyai banyak peluang.
3730223	I'm giving you an opportunity.	5123250	Saya memberi anda satu peluang.
3730224	I know it's a great opportunity.	5123251	Saya tahu ia satu peluang yang besar.
3730225	Tom thinks I'm missing this great opportunity.	5123257	Tom merasa saya hilang peluang yang terbesar ini.
3730226	You may have that opportunity.	5123261	Anda mungkin mempunyai peluang itu.
3730227	I regret losing that opportunity.	5123271	Saya menyesali kehilangan peluang itu.
3730228	I have a problem dealing with authority.	5123286	Saya ada masalah berurusan dengan pihak berkuasa.
246671	Unless I am mistaken, I've seen that man before.	5126005	Sebelum ini saya terlihat orang itu, melainkan saya tersilap pun.
246673	It is not the car but the users that I am concerned about.	5126015	Itu bukan kereta tapi pengguna yang saya diprihatinkan.
2641125	Tom doesn't want to try anything else.	5129688	Tom tidak mahu mencuba perkara lain.
2641126	Tom doesn't want to eat anything else.	5129689	Tom tidak mahu makan apa-apa lagi.
2641129	Tom doesn't know I'm Mary's boyfriend.	5129748	Tom tidak tahu saya teman lelaki Mary.
2641130	Tom doesn't have an Australian accent.	5129750	Tom tidak mempunyai loghat Australia.
2641131	Tom doesn't go to school here anymore.	5129760	Tom tidak pergi ke sekolah di sini lagi.
44879	The store is not open today.	5137389	Kedai ini tidak membuka hari ini.
44880	The shop is closed today.	5138173	Kedai ini ditutupkan hari ini.
5141935	Every great achievement was once considered impossible.	5141939	Setiap pencapaian besar pernah dianggap mustahil.
533193	Such behavior can cause an accident.	5142607	Kelakuan sedemikian boleh menyebabkan kemalangan.
2712581	You're the last person I expected to see here.	5142613	Awaklah orang yang terakhir yang saya dijangka lihat di sini.
2712582	You're not actually going to do that, are you?	5142628	Sebenarnya awak takkan melakukan sedemikian, bukan?
30002	It backfired on me despite my good intentions.	5144126	Ia memakan diri sendiri pada saya walaupun niat baik saya.
5145105	Remember to check to make sure the gas has been turned off before you go out.	5145102	Ingatlah untuk memeriksa memastikan gas telah dimatikan sebelum anda keluar.
5145763	This sentence has been deleted because it was a duplicate.	5145762	Ayat ini telah dipadamkan kerana salinan.
1068347	I informed her of his arrival.	5145810	Saya dimaklumkan kepada dia kedatangannya.
1068350	Old people in supermarkets piss me off.	5145823	Punyalah orang tua di supermarket menyesal.
36402	It is difficult to understand why you want to go.	5161649	Susah untuk memahami kenapa awak nak pergi.
36403	Do you know why the sky is blue?	5161654	Tahukah anda mengapa langit itu biru?
36404	What did you go to Kyoto for?	5162143	Kau buat apa di Kyoto?
2393498	I tried to guess her age.	5198829	Saya cuba untuk meneka umurnya.
1908439	Mary, what are you doing?	5200297	Mary, apakah yang sedang awak lakukan?
138867	Do you want a cup of coffee?	5239318	Adakah awak hendak secawan kopi?
5248433	Very good!	5310568	Bagus!
582144	I hope that your brother is better.	5310569	Saya harap bahawa saudara anda lebih baik.
261326	I love you more than her.	5310571	Saya cinta anda lebih daripada beliau.
1213583	2539 is a prime number.	5311480	2539 adalah nombor perdana.
5298786	Where did you buy that shirt?	5311481	Di mana anda membeli baju itu?
5295494	Tom is probably not hungry.	5311482	Tom mungkin tidak lapar.
1531052	Why didn't she come?	5491895	Mengapa dia tidak datang?
2358001	I really don't understand what's so funny.	5491937	Sungguh saya tidak faham apakah yang lucu sangat.
3748414	Set cooking time for 1 minute 45 seconds.	5491960	Setkan masa memasak untuk 1 minit 45 saat.
238615	The results were negative.	5491977	Keputusannya adalah negatif.
5680780	Soon, in the great theatre, the lights will be put out, and the empty stage will be left to ghosts.	5680818	Sebentar lagi, di teater yang megah, semua lampu akan terpadam dan pentas akan ditinggalkan hanya untuk hantu-hantu
20168	Please indicate what action you will take.	5680819	Sila tunjukkan apa yang awak hendak lakukan
2377	I've got a frog in my throat.	5680820	Saya ada katak di dalam tekak saya
854075	We love eating apples.	5680821	Saya suka makan epal
380257	What the hell is this?	5680822	Apa kejadah ini?
2508247	Were these six months of full time studies at your current educational institution (school)?	5680826	Adakah ini enam bulan pembelajaran sepenuh masa di institusi anda (sekolah)?
5146698	I think that I was followed by someone.	5680827	Saya rasa saya diekori seseorang tadi
287079	His temperature is normal.	5680828	Suhu dia biasa sahaja
3342765	You never showed up.	5680829	Tetapi awak tidak datang
3568440	I'm not unemployed.	5680830	Saya tidak menganggur
3405263	You don't have to be here tomorrow.	5680831	Awak tidak perlu handir ke sini esok
3207053	What do stores do with unsold merchandise?	5680832	Apa yang dibuat oleh kedai dengan barangan yang tidak dijual
46872	Let me have a look at those photos.	5680838	Mari saya lihat gambar-gambar itu
1815473	Singapore is called "Singapura" in Malay.	5687113	Singapura dipanggil Singapura di dalam bahasa Melayu
253926	I want the same guitar as John has.	5731283	Saya mahu gitar yang sama seperti si John.
322520	Should anything happen to you, let us know at once.	5741055	Sepatutnya apa saja pun berlaku kepada kamu, beritahulah kami sekaligus.
322521	If this airplane were to be hijacked, what in the world would you do?	5741057	Jika pesawat ini telah akan dirampas, apa yang kamu akan melakukan?
1408225	Hanako really likes cake.	5753545	Hanako sangat suka kek.
39607	How many books are there on the table?	5996281	Ada berapa buku di atas meja?
51970	Not all of the staff was present.	5899491	Tidak semua pihak pekerja yang hadir.
53834	Jane has a lot of clothes to wash.	5900142	Jane mempunyai banyak pakaian untuk dibasuh.
256750	I felt as if my face were on fire.	5907935	Saya merasakan seolah-olah muka saya telah terbakar.
256751	I felt a cold wind on my face.	5907943	Saya merasakan angin sejuk di muka saya.
667918	If you tell the truth, you don't have to remember anything.	5931111	Jika awak bercakap benar, awak tidak perlu ingat apa-apa.
906750	What's your favorite drinking song?	5907898	Apakah minum lagu kegemaran anda?
906751	What's your favorite educational TV program?	5907905	Apakah program TV pendidikan kegemaran anda?
906752	What's your favorite email client?	5907911	Apakah klien emel kesukaan anda?
906753	What's your favorite energy drink?	5907912	Apakah minuman tenaga kegemaran anda?
2195194	He's hung like a horse.	5894462	Pelirnya tegang seperti pelir kuda.
